id,province,city,place_name,full_name,region,visit_date,trip_tag,excerpt,snacks,search_term,lat,lng,image_url,article_url,featured,source_file,source_title,extractor_notes,human_reviewed
HY011,浙江,杭州市,杭州西湖,浙江·杭州西湖,北京,2022年11月,2022南下之旅,杭州的秋天是最美的季节，西湖边的落叶铺成金色的地毯。,[],浙江杭州西湖,30.2420,120.1485,,,false,2022-11-08_和北京兄弟在杭州相聚.pdf,和北京兄弟在杭州相聚,,Y
HY012,福建,武夷山市,武夷山,福建·武夷山,北京,2022年12月,2022南下之旅,有生之年一定要去趟武夷山，九曲溪的竹筏漂流让人忘却尘世烦恼。,"[""大红袍"",""熏鹅""]",福建武夷山九曲溪,27.7547,118.0353,,,true,2022-12-10_有生之年一定要去趟武夷山.pdf,有生之年一定要去趟武夷山,,Y
HY013,福建,霞浦县,霞浦,福建·霞浦,北京,2022年12月,2022南下之旅,霞浦的滩涂在夕阳下金光闪闪，是摄影人的天堂。,[],福建霞浦,26.8850,120.0050,,,false,2022-12-13_霞浦霞浦.pdf,霞浦霞浦,,Y
HY014,福建,平潭县,平潭岛,福建·平潭岛,北京,2022年12月,2022南下之旅,平潭岛北线风雨交加，南线浪涛汹涌，太平洋的气势让人敬畏。,"[""海蛎煎"",""鱼丸""]",福建平潭岛,25.5000,119.7833,,,false,2022-12-16_平潭岛北线游—东海岸风雨交加.pdf,平潭岛北线游—东海岸风雨交加,,Y
HY015,福建,厦门市,鼓浪屿,福建·鼓浪屿,北京,2022年12月,2022南下之旅,鼓浪屿的巷子里藏着各种小惊喜，但也藏着各种坑。,"[""沙茶面"",""土笋冻""]",福建厦门鼓浪屿,24.4488,118.0657,,,false,2022-12-19_鼓浪屿防坑提示和虐狗指南.pdf,鼓浪屿防坑提示和虐狗指南,,Y
HY016,福建,漳州市,南靖土楼,福建·南靖土楼,北京,2022年12月,2022南下之旅,南靖土楼的壮观超出想象，几百年前的建筑智慧令人叹服。,[],福建漳州南靖土楼,24.6578,117.0372,,,false,2022-12-20_南靖土楼和夜潮州，准备在广东羊.pdf,南靖土楼和夜潮州，准备在广东羊,,Y
HY017,河北,保定市,保定古城,河北·保定,北京,2022年8月,,保定—驴火解千愁，一个驴肉火烧就能治愈旅途的疲惫。,"[""驴肉火烧""]",河北保定,38.8739,115.4646,,,false,2022-08-16_保定—驴火解千愁.pdf,保定—驴火解千愁,,Y
HY018,河北,石家庄市,河北省博物馆,河北·河北省博物馆,北京,2022年8月,,河北省博物馆里的长信宫灯和金缕玉衣，让人感叹两千年前的工艺水平。,[],河北石家庄河北省博物馆,38.0400,114.5140,,,false,2022-08-23_河北省博物馆.pdf,河北省博物馆,,Y
HY019,河北,安新县,白洋淀,河北·白洋淀,北京,2022年8月,,白洋淀里静悄悄，芦苇荡里只有水鸟的叫声，世界仿佛慢了下来。,"[""炖杂鱼""]",河北安新白洋淀,38.9400,115.9400,,,false,2022-08-20_白洋淀里静悄悄.pdf,白洋淀里静悄悄,,Y
HY020,山西,太原市,晋阳湖,山西·晋阳湖,北京,2022年10月,,步行3小时环晋阳湖15公里，湖面宽阔，夕阳下的剪影美不胜收。,"[""丸子汤""]",山西太原晋阳湖,37.7400,112.5200,,,false,2022-10-28_步行3小时，环晋阳湖15公里.pdf,步行3小时，环晋阳湖15公里,,Y
HY021,山西,平遥县,平遥古城,山西·平遥古城,北京,2022年10月,,平遥古城阴冷萧条，但古城墙上的风声让人想起晋商的辉煌岁月。,"[""平遥牛肉"",""碗托""]",山西平遥古城,37.1890,111.7580,,,false,2022-10-30_平遥古城，阴冷和萧条.pdf,平遥古城，阴冷和萧条,,Y
HY022,河南,开封市,开封府,河南·开封府,北京,2022年11月,,开封府第一站，包公祠的威严和清明上河园的热闹形成鲜明对比。,"[""灌汤包""]",河南开封府,34.7980,114.3450,,,false,2022-11-27_开封府，第一站.pdf,开封府，第一站,,Y
HY023,广东,潮州市,潮州古城,广东·潮州,北京,2022年12月,2022南下之旅,潮州的夜比白天更迷人，牌坊街的灯光和牛肉火锅的蒸汽交织在一起。,"[""牛肉火锅"",""潮州粉果""]",广东潮州古城,23.6567,116.6227,,,true,2022-12-20_南靖土楼和夜潮州，准备在广东羊.pdf,南靖土楼和夜潮州，准备在广东羊,,Y
HY024,北京,西城区,德外老街区,北京·德外老街区,北京,2021年12月,,德外的老街区和老饭馆，是北京最真实的烟火气。,"[""肉饼""]",北京德胜门外,39.9590,116.3820,,,false,2021-12-19_德外的老街区和老饭馆.pdf,德外的老街区和老饭馆,,Y
HY025,北京,西城区,护国寺,北京·护国寺,北京,2022年8月,,护国寺的宫廷甜点，豌豆黄和驴打滚，每一口都是老北京的味道。,"[""豌豆黄"",""驴打滚""]",北京护国寺,39.9370,116.3740,,,false,2022-08-13_护国寺的宫廷甜点.pdf,护国寺的宫廷甜点,,Y
HY026,北京,西城区,西单,北京·西单,北京,2021年12月,,西单美食之大悦城墨纪墨西哥餐厅，taco和龙舌兰的异国风情。,"[""taco""]",北京西单,39.9090,116.3730,,,false,2021-12-01_西单美食之大悦城墨纪墨西哥餐厅.pdf,西单美食之大悦城墨纪墨西哥餐厅,,Y
HY027,江苏,苏州市,甪直古镇,江苏·甪直古镇,北京,2022年10月,2022南下之旅,大爱甪直古镇，水巷小桥、枕河人家，比周庄安静十倍。,"[""甫里鸭"",""萝卜丝饼""]",江苏苏州甪直古镇,31.2600,120.8200,,,true,2022-10-05_大爱甪直古镇.pdf,大爱甪直古镇,,Y
HY028,江苏,苏州市,同里古镇,江苏·同里古镇,北京,2022年10月,2022南下之旅,像后海夜色的同里，退思园的灯光倒映在水面上如梦似幻。,[],江苏苏州同里古镇,31.1600,120.7167,,,false,2022-10-04_像后海的夜同里.pdf,像后海的夜同里,,Y
HY029,江苏,苏州市,黎里古镇,江苏·黎里古镇,北京,2022年10月,2022南下之旅,心里梦里黎里，这个小镇安静得让人不想离开。,"[""辣脚"",""套肠""]",江苏苏州黎里古镇,31.0500,120.7000,,,false,2022-10-03_心里，梦里，黎里.pdf,心里，梦里，黎里,,Y
HY030,浙江,嵊泗县,嵊泗列岛,浙江·嵊泗,北京,2022年10月,2022南下之旅,嵊泗环岛一日游，碧海蓝天，渔村炊烟，这才是海岛该有的样子。,"[""海鲜面""]",浙江舟山嵊泗,30.7300,122.4500,,,false,2022-10-09_嵊泗环岛一日游.pdf,嵊泗环岛一日游,,Y
HY031,安徽,宣城市,皖南川藏线,安徽·皖南川藏线,北京,2022年9月,2022南下之旅,皖风徽韵，从黄山到婺源的极美乡道，每一帧都是壁纸。,[],安徽宣城皖南川藏线,30.5667,118.4167,,,false,2022-09-02_皖风徽韵.pdf,皖风徽韵,,Y
HY032,江苏,南京市,盱眙,江苏·盱眙,北京,2022年9月,2022南下之旅,盱眙十三香吊打簋街麻小，这话一点不假，鲜香麻辣直冲天灵盖。,"[""十三香小龙虾""]",江苏淮安盱眙,33.0067,118.5170,,,false,2022-09-17_盱眙十三香吊打簋街麻小.pdf,盱眙十三香吊打簋街麻小,,Y
