地点ID,地点名,问题类型,问题描述,当前值
"P056","海州花果山古址","sub_coord_dup","子地点坐标重复","归善县衙和孔望山坐标相同(34.572506,119.163492)"
"P056","海州花果山古址","no_famous_line","无代表名句",""
"P057","汉中栈道","no_famous_line","无代表名句",""
"P058","杭州","sub_coord_dup","子地点坐标重复","凤凰山州衙和望湖楼坐标相同(30.234,120.168)"
"P059","濠州","no_famous_line","无代表名句",""
"P060","河北平原古驿","poi_mismatch","POI偏差265.0km","place=(39.058514,117.229216) poi=(38.03,114.48)"
"P060","河北平原古驿","no_famous_line","无代表名句",""
"P061","洪泽湖","no_famous_line","无代表名句",""
"P062","洪泽湖古渡口","no_famous_line","无代表名句",""
"P063","洪泽湖沿岸","no_famous_line","无代表名句",""
"P064","洪州","no_famous_line","无代表名句",""
"P065","湖州","sub_coord_dup","子地点坐标重复","嘉州官署和湖州苏湾坐标相同(30.894178,120.086881)"
"P066","湖州西塞山","no_famous_line","无代表名句",""
"P067","华山远眺","no_famous_line","无代表名句",""
"P068","华州","sub_coord_dup","子地点坐标重复","建安官署和华山坐标相同(34.566552,110.092286)"
"P068","华州","no_famous_line","无代表名句",""
"P069","淮河","no_famous_line","无代表名句",""
"P070","淮河南岸古驿","no_famous_line","无代表名句",""
"P071","淮水","no_famous_line","无代表名句",""
"P072","黄州","sub_coord_dup","子地点坐标重复","定慧院和安国寺坐标相同(30.443917,114.879568)"
"P072","黄州","sub_coord_dup","子地点坐标重复","定慧院和承天寺坐标相同(30.443917,114.879568)"
"P072","黄州","sub_coord_dup","子地点坐标重复","临皋亭和东坡纪念馆坐标相同(30.452846,114.897463)"
"P072","黄州","sub_coord_dup","子地点坐标重复","东坡雪堂和东坡赤壁坐标相同(30.452494,114.867135)"
"P072","黄州","sub_coord_dup","子地点坐标重复","安国寺和承天寺坐标相同(30.443917,114.879568)"
"P074","惠州
惠州再贬：惠州","sub_coord_dup","子地点坐标重复","到'蛮荒之地'和惯了坐标相同(23.1115,114.4153)"
"P074","惠州
惠州再贬：惠州","sub_coord_dup","子地点坐标重复","到'蛮荒之地'和儋州坐标相同(23.1115,114.4153)"
"P074","惠州
惠州再贬：惠州","sub_coord_dup","子地点坐标重复","惯了和儋州坐标相同(23.1115,114.4153)"
"P075","惠州合江楼","sub_coord_dup","子地点坐标重复","合江楼和白鹤峰新居坐标相同(23.086,114.4131)"
"P075","惠州合江楼","sub_coord_dup","子地点坐标重复","合江楼和西湖坐标相同(23.086,114.4131)"
"P075","惠州合江楼","sub_coord_dup","子地点坐标重复","合江楼和罗浮山坐标相同(23.086,114.4131)"
"P075","惠州合江楼","sub_coord_dup","子地点坐标重复","白鹤峰新居和西湖坐标相同(23.086,114.4131)"
"P075","惠州合江楼","sub_coord_dup","子地点坐标重复","白鹤峰新居和罗浮山坐标相同(23.086,114.4131)"
"P075","惠州合江楼","sub_coord_dup","子地点坐标重复","西湖和罗浮山坐标相同(23.086,114.4131)"
"P076","吉州","no_famous_line","无代表名句",""
"P077","济南","no_famous_line","无代表名句",""
"P079","犍为","no_famous_line","无代表名句",""
"P080","剑门关","sub_coord_dup","子地点坐标重复","济州官署和剑门关坐标相同(32.288681,105.524699)"
"P080","剑门关","no_famous_line","无代表名句",""
"P081","剑门关古驿","sub_coord_dup","子地点坐标重复","冀州官署和剑门关坐标相同(32.288681,105.524699)"
"P081","剑门关古驿","no_famous_line","无代表名句",""
"P082","江淮水乡驿道","no_famous_line","无代表名句",""
"P083","江陵","sub_coord_dup","子地点坐标重复","嘉禾官署和荆州古城坐标相同(30.352984,112.190282)"
"P083","江陵","no_famous_line","无代表名句",""
"P084","江陵荆州古城","sub_coord_dup","子地点坐标重复","建康府衙和荆州古城坐标相同(30.352984,112.190282)"
"P084","江陵荆州古城","no_famous_line","无代表名句",""
"P085","江南运河","no_famous_line","无代表名句",""
"P086","江南运河全线","no_poems","无关联诗词",""
"P086","江南运河全线","no_famous_line","无代表名句",""
"P087","江州","sub_coord_dup","子地点坐标重复","江州附近驿馆和琵琶亭坐标相同(29.741953,116.025154)"
"P087","江州","no_famous_line","无代表名句",""
"P088","胶东半岛古道","no_famous_line","无代表名句",""
"P090","金陵秦淮","sub_coord_dup","子地点坐标重复","金陵秦淮州衙和谪坐标相同(32.022,118.78)"
"P091","金陵钟山","no_poems","无关联诗词",""
"P091","金陵钟山","sub_coord_dup","子地点坐标重复","金陵钟山州衙和钟山坐标相同(32.076954,118.848444)"
"P091","金陵钟山","sub_coord_dup","子地点坐标重复","金陵钟山州衙和谪坐标相同(32.076954,118.848444)"
"P091","金陵钟山","sub_coord_dup","子地点坐标重复","钟山和谪坐标相同(32.076954,118.848444)"
"P092","荆州","sub_coord_dup","子地点坐标重复","晋陵县衙和荆州古城坐标相同(30.35157,112.197642)"
"P092","荆州","no_famous_line","无代表名句",""
"P093","夔门三峡","no_famous_line","无代表名句",""
"P094","夔州","no_famous_line","无代表名句",""
"P095","莱州","sub_coord_dup","子地点坐标重复","九江官署和云峰山坐标相同(37.178187,119.942057)"
"P095","莱州","no_famous_line","无代表名句",""
"P096","乐山大佛","no_famous_line","无代表名句",""
"P097","雷州","sub_coord_dup","子地点坐标重复","开封府衙和雷州古城坐标相同(20.914548,110.097011)"
"P097","雷州","no_famous_line","无代表名句",""
"P098","雷州伏波庙","sub_coord_dup","子地点坐标重复","开化官署和雷州古城坐标相同(20.914548,110.097011)"
"P098","雷州伏波庙","no_famous_line","无代表名句",""
"P099","利州","sub_coord_dup","子地点坐标重复","康州官署和昭化古城坐标相同(32.336267,105.719853)"
"P099","利州","no_famous_line","无代表名句",""
"P100","廉州","sub_coord_dup","子地点坐标重复","廉州府衙和海角亭坐标相同(21.66132,109.207236)"
"P100","廉州","no_famous_line","无代表名句",""
"P101","廉州白石镇","sub_coord_dup","子地点坐标重复","廉州白石镇居所和廉州白石镇州衙坐标相同(21.66132,109.207236)"
"P101","廉州白石镇","sub_coord_dup","子地点坐标重复","廉州白石镇居所和海角亭坐标相同(21.66132,109.207236)"
"P101","廉州白石镇","sub_coord_dup","子地点坐标重复","廉州白石镇州衙和海角亭坐标相同(21.66132,109.207236)"
"P101","廉州白石镇","no_famous_line","无代表名句",""
"P102","临沂","no_famous_line","无代表名句",""
"P103","灵隐寺","no_famous_line","无代表名句",""
"P105","岭南西江水路","no_famous_line","无代表名句",""
"P106","六井遗迹","sub_coord_dup","子地点坐标重复","六井遗迹州衙和通判，寓居凤凰山任杭州坐标相同(30.2586,120.162)"
"P106","六井遗迹","sub_coord_dup","子地点坐标重复","六井遗迹州衙和杭州坐标相同(30.2586,120.162)"
"P106","六井遗迹","sub_coord_dup","子地点坐标重复","通判，寓居凤凰山任杭州和杭州坐标相同(30.2586,120.162)"
"P107","卢山","no_famous_line","无代表名句",""
"P109","庐山全山","sub_coord_dup","子地点坐标重复","庐山和西林寺坐标相同(29.448225,116.045118)"
"P110","庐州","no_famous_line","无代表名句",""
"P111","泸州","no_famous_line","无代表名句",""
"P112","罗浮山","no_famous_line","无代表名句",""
"P113","洛阳","no_famous_line","无代表名句",""
"P114","洛阳龙门","no_famous_line","无代表名句",""
"P115","蟆颐山蟆颐观","sub_coord_dup","子地点坐标重复","蟆颐山蟆颐观州衙和。他在母亲和妻子坟前种下松树坐标相同(30.051142,103.876237)"
"P115","蟆颐山蟆颐观","no_famous_line","无代表名句",""
"P116","眉山","sub_coord_dup","子地点坐标重复","三苏祠和蟆颐山蟆颐观坐标相同(30.040704,103.830863)"
"P116","眉山","no_famous_line","无代表名句",""
"P117","眉山玻璃江","sub_coord_dup","子地点坐标重复","眉山玻璃江州衙和。他在母亲和妻子坟前种下松树坐标相同(30.077113,103.848417)"
"P117","眉山玻璃江","no_famous_line","无代表名句",""
"P118","眉山故居","sub_coord_dup","子地点坐标重复","眉山故居州衙和。他在母亲和妻子坟前种下松树坐标相同(30.077113,103.848417)"
"P118","眉山故居","no_famous_line","无代表名句",""
"P119","密州","sub_coord_dup","子地点坐标重复","密州州衙和超然台坐标相同(35.998708,119.410242)"
"P119","密州","sub_coord_dup","子地点坐标重复","密州州衙和常山坐标相同(35.998708,119.410242)"
"P119","密州","sub_coord_dup","子地点坐标重复","超然台和常山坐标相同(35.998708,119.410242)"
"P120","密州超然台","sub_coord_dup","子地点坐标重复","密州超然台州衙和知州任密州坐标相同(35.9942,119.4039)"
"P120","密州超然台","sub_coord_dup","子地点坐标重复","超然台和常山坐标相同(36.009273,119.412992)"
"P120","密州超然台","sub_coord_dup","子地点坐标重复","超然台和黄茅岗坐标相同(36.009273,119.412992)"
"P120","密州超然台","sub_coord_dup","子地点坐标重复","常山和黄茅岗坐标相同(36.009273,119.412992)"
"P121","绵州","no_famous_line","无代表名句",""
"P122","勉县","no_famous_line","无代表名句",""
"P123","渑池","sub_coord_dup","子地点坐标重复","南安军衙和秦赵会盟台坐标相同(34.767937,111.761753)"
"P124","渑池僧舍","sub_coord_dup","子地点坐标重复","渑池僧舍居所和渑池僧舍州衙坐标相同(34.767,111.77)"
"P124","渑池僧舍","sub_coord_dup","子地点坐标重复","渑池和秦赵会盟台坐标相同(34.767937,111.761753)"
"P125","南都","sub_coord_dup","子地点坐标重复","南康军衙和应天府书院坐标相同(34.370673,115.620104)"
"P125","南都","no_famous_line","无代表名句",""
"P126","南雄","no_famous_line","无代表名句",""
"P127","南浔古驿","no_famous_line","无代表名句",""
"P128","宁强","no_famous_line","无代表名句",""
"P129","彭山","no_famous_line","无代表名句",""
"P130","彭山江口","no_famous_line","无代表名句",""
"P131","蓬莱阁","no_famous_line","无代表名句",""
"P132","鄱阳湖","no_poems","无关联诗词",""
"P132","鄱阳湖","no_famous_line","无代表名句",""
"P133","齐鲁古道","no_famous_line","无代表名句",""
"P134","岐亭","no_famous_line","无代表名句",""
"P135","蕲水","no_famous_line","无代表名句",""
"P136","虔州","sub_coord_dup","子地点坐标重复","彭泽县衙和郁孤台坐标相同(25.831139,114.933494)"
"P136","虔州","no_famous_line","无代表名句",""
"P137","秦岭古驿","no_famous_line","无代表名句",""
"P138","青神","no_famous_line","无代表名句",""
"P139","青神平羌江","no_famous_line","无代表名句",""
"P140","青州","no_famous_line","无代表名句",""
"P141","琼州","poi_mismatch","POI偏差15.9km","place=(20.017,110.349) poi=(20.046316,110.200162)"
"P141","琼州","sub_coord_dup","子地点坐标重复","蕲州官署和五公祠坐标相同(20.007686,110.359595)"
"P141","琼州","no_famous_line","无代表名句",""
"P142","琼州海峡","poi_mismatch","POI偏差19.7km","place=(20.05,110.2) poi=(20.173471,110.3358)"
"P142","琼州海峡","no_famous_line","无代表名句",""
"P143","仁和运河","no_poems","无关联诗词",""
"P143","仁和运河","no_famous_line","无代表名句",""
"P144","戎州","no_famous_line","无代表名句",""
"P145","汝州","no_famous_line","无代表名句",""
"P146","润州","sub_coord_dup","子地点坐标重复","润州府衙和北固山坐标相同(32.198285,119.470186)"
"P147","三苏祠","sub_coord_dup","子地点坐标重复","三苏祠州衙和三苏祠坐标相同(30.040704,103.830863)"
"P147","三苏祠","sub_coord_dup","子地点坐标重复","三苏祠州衙和。他在母亲和妻子坟前种下松树坐标相同(30.040704,103.830863)"
"P147","三苏祠","sub_coord_dup","子地点坐标重复","三苏祠和。他在母亲和妻子坟前种下松树坐标相同(30.040704,103.830863)"
"P147","三苏祠","no_famous_line","无代表名句",""
"P148","三潭印月","sub_coord_dup","子地点坐标重复","三潭印月州衙和通判，寓居凤凰山任杭州坐标相同(30.246566,120.209903)"
"P148","三潭印月","sub_coord_dup","子地点坐标重复","三潭印月州衙和杭州坐标相同(30.246566,120.209903)"
"P148","三潭印月","sub_coord_dup","子地点坐标重复","杭州西湖和西湖苏堤坐标相同(30.259242,120.130396)"
"P148","三潭印月","sub_coord_dup","子地点坐标重复","通判，寓居凤凰山任杭州和杭州坐标相同(30.246566,120.209903)"
"P149","三峡全程","poi_mismatch","POI偏差218.6km","place=(32.009,112.987) poi=(30.69,111.28)"
"P149","三峡全程","no_famous_line","无代表名句",""
"P151","陕州","no_famous_line","无代表名句",""
"P152","陕州硖石","no_famous_line","无代表名句",""
"P153","韶州","no_famous_line","无代表名句",""
"P156","寿州","sub_coord_dup","子地点坐标重复","蜀山和八公山坐标相同(32.545027,116.798203)"
"P156","寿州","no_famous_line","无代表名句",""
"P157","泗水古道","no_famous_line","无代表名句",""
"P158","泗水亭","poi_mismatch","POI偏差57.9km","place=(34.261,117.185) poi=(34.734439,116.923281)"
"P158","泗水亭","no_famous_line","无代表名句",""
"P159","泗州","sub_coord_dup","子地点坐标重复","太平州衙和泗州城遗址坐标相同(33.011905,118.544545)"
"P159","泗州","no_famous_line","无代表名句",""
"P160","苏北沿海驿道","no_famous_line","无代表名句",""
"P161","苏州","sub_coord_dup","子地点坐标重复","泰州官署和虎丘坐标相同(31.335648,120.617367)"
"P161","苏州","no_famous_line","无代表名句",""
"P163","太白山","no_famous_line","无代表名句",""
"P164","太湖西岸古村落","no_famous_line","无代表名句",""
"P165","太湖沿岸","no_poems","无关联诗词",""
"P165","太湖沿岸","no_famous_line","无代表名句",""
"P166","太行山东麓","no_famous_line","无代表名句",""
"P167","太学","no_famous_line","无代表名句",""
"P168","泰山余脉","no_famous_line","无代表名句",""
"P169","唐州","no_famous_line","无代表名句",""
"P171","潼关","no_famous_line","无代表名句",""
"P172","潼关渡口","no_famous_line","无代表名句",""
"P173","潍水古战场","no_famous_line","无代表名句",""
"P174","尉氏","no_famous_line","无代表名句",""
"P175","巫山","no_famous_line","无代表名句",""
"P176","巫山神女峰","no_famous_line","无代表名句",""
"P177","无锡","no_famous_line","无代表名句",""
"P178","梧州","sub_coord_dup","子地点坐标重复","吴江官署和白云山坐标相同(23.476733,111.279022)"
"P178","梧州","no_famous_line","无代表名句",""
"P179","五丈原","no_famous_line","无代表名句",""
"P180","武昌樊山","no_famous_line","无代表名句",""
"P181","西湖全域","sub_coord_dup","子地点坐标重复","西湖全域州衙和通判，寓居凤凰山任杭州坐标相同(30.259242,120.130396)"
"P181","西湖全域","sub_coord_dup","子地点坐标重复","西湖全域州衙和杭州坐标相同(30.259242,120.130396)"
"P181","西湖全域","sub_coord_dup","子地点坐标重复","通判，寓居凤凰山任杭州和杭州坐标相同(30.259242,120.130396)"
"P182","西湖苏堤","sub_coord_dup","子地点坐标重复","西湖苏堤州衙和杭州西湖坐标相同(30.259242,120.130396)"
"P182","西湖苏堤","sub_coord_dup","子地点坐标重复","西湖苏堤州衙和通判，寓居凤凰山任杭州坐标相同(30.259242,120.130396)"
"P182","西湖苏堤","sub_coord_dup","子地点坐标重复","西湖苏堤州衙和杭州坐标相同(30.259242,120.130396)"
"P182","西湖苏堤","sub_coord_dup","子地点坐标重复","杭州西湖和通判，寓居凤凰山任杭州坐标相同(30.259242,120.130396)"
"P182","西湖苏堤","sub_coord_dup","子地点坐标重复","杭州西湖和杭州坐标相同(30.259242,120.130396)"
"P182","西湖苏堤","sub_coord_dup","子地点坐标重复","通判，寓居凤凰山任杭州和杭州坐标相同(30.259242,120.130396)"
"P183","西江山水","no_famous_line","无代表名句",""
"P184","相国寺","no_famous_line","无代表名句",""
"P185","相州","no_famous_line","无代表名句",""
"P186","襄城","no_poi_coord","导航POI无坐标","modern_visit={}"
"P186","襄城","no_famous_line","无代表名句",""
"P187","襄阳","no_famous_line","无代表名句",""
"P188","襄阳古隆中","no_famous_line","无代表名句",""
"P189","崤山二陵","no_famous_line","无代表名句",""
"P190","崤山古道","no_famous_line","无代表名句",""
"P191","邢州","no_famous_line","无代表名句",""
"P192","兴廉村净行院","no_famous_line","无代表名句",""
"P193","兴元","no_famous_line","无代表名句",""
"P194","徐闻递角场","sub_coord_dup","子地点坐标重复","徐闻递角场居所和徐闻古城坐标相同(20.325969,110.17595)"
"P194","徐闻递角场","no_famous_line","无代表名句",""
"P195","徐州","poi_mismatch","POI偏差11.1km","place=(34.2616,117.1848) poi=(34.204224,117.283752)"
"P195","徐州","sub_coord_dup","子地点坐标重复","徐州州衙和燕子楼坐标相同(34.2614,117.1849)"
"P196","徐州黄楼","poi_mismatch","POI偏差11.4km","place=(34.267,117.186) poi=(34.204224,117.283752)"
"P196","徐州黄楼","sub_coord_dup","子地点坐标重复","徐州黄楼州衙和知州任徐州坐标相同(34.2614,117.1849)"
"P196","徐州黄楼","sub_coord_dup","子地点坐标重复","徐州黄楼州衙和徐州坐标相同(34.2614,117.1849)"
"P196","徐州黄楼","sub_coord_dup","子地点坐标重复","徐州黄楼州衙和在城楼上坐标相同(34.2614,117.1849)"
"P196","徐州黄楼","sub_coord_dup","子地点坐标重复","黄楼和燕子楼坐标相同(34.253638,117.251515)"
"P196","徐州黄楼","sub_coord_dup","子地点坐标重复","知州任徐州和徐州坐标相同(34.2614,117.1849)"
"P196","徐州黄楼","sub_coord_dup","子地点坐标重复","知州任徐州和在城楼上坐标相同(34.2614,117.1849)"
"P196","徐州黄楼","sub_coord_dup","子地点坐标重复","徐州和在城楼上坐标相同(34.2614,117.1849)"
"P197","许州","no_famous_line","无代表名句",""
"P199","扬州平山堂","sub_coord_dup","子地点坐标重复","扬州平山堂居所和扬州平山堂州衙坐标相同(32.394404,119.412834)"
"P199","扬州平山堂","sub_coord_dup","子地点坐标重复","扬州平山堂居所和瘦西湖坐标相同(32.394404,119.412834)"
"P199","扬州平山堂","sub_coord_dup","子地点坐标重复","扬州平山堂州衙和瘦西湖坐标相同(32.394404,119.412834)"
"P199","扬州平山堂","no_famous_line","无代表名句",""
"P200","扬州瘦西湖旧址","sub_coord_dup","子地点坐标重复","扬州瘦西湖旧址居所和扬州瘦西湖旧址州衙坐标相同(32.409,119.4197)"
"P200","扬州瘦西湖旧址","no_famous_line","无代表名句",""
"P201","叶县","no_famous_line","无代表名句",""
"P202","沂蒙山","no_famous_line","无代表名句",""
"P203","沂州","sub_coord_dup","子地点坐标重复","沂州官署和沂州古城坐标相同(35.103771,118.356464)"
"P203","沂州","no_famous_line","无代表名句",""
"P204","宜宾锁江楼","poi_mismatch","POI偏差1109.3km","place=(28.769,104.623) poi=(29.736878,116.00788)"
"P204","宜宾锁江楼","no_famous_line","无代表名句",""
"P205","宜兴","no_famous_line","无代表名句",""
"P206","宜兴田园","no_famous_line","无代表名句",""
"P207","益州官署","poi_mismatch","POI偏差17.7km","place=(30.6598,104.0633) poi=(30.790391,104.168399)"
"P207","益州官署","sub_coord_dup","子地点坐标重复","秀州官署和三苏纪念馆坐标相同(30.674583,104.062415)"
"P207","益州官署","no_famous_line","无代表名句",""
"P208","颍州","sub_coord_dup","子地点坐标重复","颍州州衙和颍州西湖坐标相同(32.883322,115.806916)"
"P209","颍州西湖","sub_coord_dup","子地点坐标重复","宣州官署和西湖坐标相同(32.883322,115.806916)"
"P209","颍州西湖","no_famous_line","无代表名句",""
